0	kingdom	phylum	class	order	family	genus	species	x	y	species_name
ncbi10020	Metazoa	Chordata	Mammalia	Rodentia	Heteromyidae	Dipodomys	Dipodomys ordii	20.633879	32.94832	Dipodomys ordii
ncbi10029	Metazoa	Chordata	Mammalia	Rodentia	Cricetidae	Cricetulus	Cricetulus griseus	19.821468	30.882557	Cricetulus griseus
ncbi1003335	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kluyveromyces	Kluyveromyces marxianus	14.682624	5.1583743	Kluyveromyces marxianus
ncbi10036	Metazoa	Chordata	Mammalia	Rodentia	Cricetidae	Mesocricetus	Mesocricetus auratus	19.784288	30.888224	Mesocricetus auratus
ncbi10041	Metazoa	Chordata	Mammalia	Rodentia	Cricetidae	Peromyscus	Peromyscus leucopus	19.6519	30.10747	Peromyscus leucopus
ncbi10047	Metazoa	Chordata	Mammalia	Rodentia	Muridae	Meriones	Meriones unguiculatus	19.63443	30.11363	Meriones unguiculatus
ncbi100784	Metazoa	Chordata	Aves	Gruiformes	Gruidae	Balearica	Balearica regulorum	44.042908	22.64152	Balearica regulorum
ncbi10089	Metazoa	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus caroli	19.63686	30.096931	Mus caroli
ncbi10090	Metazoa	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	19.672794	30.07149	Mus musculus
ncbi10093	Metazoa	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus pahari	19.65742	30.098751	Mus pahari
ncbi101020	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Rosaceae	Fragaria	Fragaria vesca	-6.222323	4.409066	Fragaria vesca
ncbi10116	Metazoa	Chordata	Mammalia	Rodentia	Muridae	Rattus	Rattus norvegicus	19.659243	30.087568	Rattus norvegicus
ncbi10117	Metazoa	Chordata	Mammalia	Rodentia	Muridae	Rattus	Rattus rattus	19.64046	30.107853	Rattus rattus
ncbi10141	Metazoa	Chordata	Mammalia	Rodentia	Caviidae	Cavia	Cavia porcellus	19.733498	31.318172	Cavia porcellus
ncbi10160	Metazoa	Chordata	Mammalia	Rodentia	Octodontidae	Octodon	Octodon degus	20.349247	30.479301	Octodon degus
ncbi10181	Metazoa	Chordata	Mammalia	Rodentia	Bathyergidae	Heterocephalus	Heterocephalus glaber	21.473043	29.175596	Heterocephalus glaber
ncbi102107	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	Prunus mume	-5.7658215	5.1403904	Prunus mume
ncbi102211	Viridiplantae	Streptophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Benincasa	Benincasa hispida	-5.7724295	4.7233233	Benincasa hispida
ncbi10224	Metazoa	Hemichordata	Enteropneusta		Harrimaniidae	Saccoglossus	Saccoglossus kowalevskii	-10.282327	20.927916	Saccoglossus kowalevskii
ncbi10228	Metazoa	Placozoa	Uniplacotomia	Trichoplacea	Trichoplacidae	Trichoplax	Trichoplax adhaerens	20.550882	32.892918	Trichoplax adhaerens
ncbi1026970	Metazoa	Chordata	Mammalia	Rodentia	Spalacidae	Nannospalax	Nannospalax galili	21.334854	29.191328	Nannospalax galili
ncbi1028729	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium pseudograminearum	7.340643	-0.02995294	Fusarium pseudograminearum
ncbi103372	Metazoa	Arthropoda	Insecta	Hymenoptera	Formicidae	Acromyrmex	Acromyrmex echinatior	-10.801536	21.23104	Acromyrmex echinatior
ncbi1036611	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus versicolor	6.2042947	2.8542585	Aspergillus versicolor
ncbi1036612	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus sydowii	6.157648	2.89596	Aspergillus sydowii
ncbi103695	Metazoa	Chordata	Lepidosauria	Squamata	Agamidae	Pogona	Pogona vitticeps	43.32909	23.990232	Pogona vitticeps
ncbi1037660	Fungi	Basidiomycota	Exobasidiomycetes	Georgefischeriales	Tilletiariaceae	Tilletiaria	Tilletiaria anomala	12.244696	3.02803	Tilletiaria anomala
