0	kingdom	phylum	class	order	family	genus	species	clade	x	y	species_name
ncbi10020	Metazoa	Chordata	Mammalia	Rodentia	Heteromyidae	Dipodomys	Dipodomys ordii	Glires	-4.6409755	14.660417	Dipodomys ordii
ncbi10029	Metazoa	Chordata	Mammalia	Rodentia	Cricetidae	Cricetulus	Cricetulus griseus	Muroidea	-3.9038417	14.895953	Cricetulus griseus
ncbi1003335	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kluyveromyces	Kluyveromyces marxianus	saccharomyceta	0.39474335	1.5915312	Kluyveromyces marxianus
ncbi10036	Metazoa	Chordata	Mammalia	Rodentia	Cricetidae	Mesocricetus	Mesocricetus auratus	Muroidea	-3.8458376	14.958382	Mesocricetus auratus
ncbi10041	Metazoa	Chordata	Mammalia	Rodentia	Cricetidae	Peromyscus	Peromyscus leucopus	Muroidea	-3.284658	13.899021	Peromyscus leucopus
ncbi10047	Metazoa	Chordata	Mammalia	Rodentia	Muridae	Meriones	Meriones unguiculatus	Muroidea	-3.2821746	13.923948	Meriones unguiculatus
ncbi100784	Metazoa	Chordata	Aves	Gruiformes	Gruidae	Balearica	Balearica regulorum	Neoaves	-8.3526945	7.4961863	Balearica regulorum
ncbi10089	Metazoa	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus caroli	Muroidea	-3.3244538	13.958863	Mus caroli
ncbi10090	Metazoa	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	Muroidea	-3.2152958	13.866377	Mus musculus
ncbi10093	Metazoa	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus pahari	Muroidea	-3.3058362	13.944089	Mus pahari
ncbi101020	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Rosaceae	Fragaria	Fragaria vesca	fabids	15.672416	10.9659	Fragaria vesca
ncbi10116	Metazoa	Chordata	Mammalia	Rodentia	Muridae	Rattus	Rattus norvegicus	Muroidea	-3.24999	13.956001	Rattus norvegicus
ncbi10117	Metazoa	Chordata	Mammalia	Rodentia	Muridae	Rattus	Rattus rattus	Muroidea	-3.3053632	13.970082	Rattus rattus
ncbi10141	Metazoa	Chordata	Mammalia	Rodentia	Caviidae	Cavia	Cavia porcellus	Glires	-2.2141633	13.344028	Cavia porcellus
ncbi10160	Metazoa	Chordata	Mammalia	Rodentia	Octodontidae	Octodon	Octodon degus	Glires	-3.918601	14.860749	Octodon degus
ncbi10181	Metazoa	Chordata	Mammalia	Rodentia	Bathyergidae	Heterocephalus	Heterocephalus glaber	Glires	-4.16187	14.647942	Heterocephalus glaber
ncbi102107	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	Prunus mume	fabids	15.828635	10.964164	Prunus mume
ncbi102211	Viridiplantae	Streptophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Benincasa	Benincasa hispida	fabids	15.415611	11.071847	Benincasa hispida
ncbi10224	Metazoa	Hemichordata	Enteropneusta		Harrimaniidae	Saccoglossus	Saccoglossus kowalevskii	Deuterostomia	2.8562734	5.4799705	Saccoglossus kowalevskii
ncbi10228	Metazoa	Placozoa	Uniplacotomia	Trichoplacea	Trichoplacidae	Trichoplax	Trichoplax adhaerens	Eumetazoa	-1.5061115	3.41446	Trichoplax adhaerens
ncbi1026970	Metazoa	Chordata	Mammalia	Rodentia	Spalacidae	Nannospalax	Nannospalax galili	Muroidea	-4.19182	14.681367	Nannospalax galili
ncbi1028729	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium pseudograminearum	sordariomyceta	8.400143	-6.574718	Fusarium pseudograminearum
ncbi103372	Metazoa	Arthropoda	Insecta	Hymenoptera	Formicidae	Acromyrmex	Acromyrmex echinatior	Dicondylia	1.3258169	5.717754	Acromyrmex echinatior
ncbi1036611	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus versicolor	leotiomyceta	8.705855	-3.8809018	Aspergillus versicolor
ncbi1036612	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus sydowii	leotiomyceta	8.652738	-3.9148211	Aspergillus sydowii
ncbi103695	Metazoa	Chordata	Lepidosauria	Squamata	Agamidae	Pogona	Pogona vitticeps	Acrodonta	-10.502634	6.153099	Pogona vitticeps
ncbi1037660	Fungi	Basidiomycota	Exobasidiomycetes	Georgefischeriales	Tilletiariaceae	Tilletiaria	Tilletiaria anomala	Opisthokonta	2.763203	-1.9201307	Tilletiaria anomala
ncbi103933	Metazoa	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus bifarius	Anthophila	-0.07354399	5.096341	Bombus bifarius
ncbi103944	Metazoa	Chordata	Lepidosauria	Squamata	Viperidae	Protobothrops	Protobothrops mucrosquamatus	Toxicofera	-10.472428	6.1937284	Protobothrops mucrosquamatus
ncbi1041015	Metazoa	Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	Drosophila rhopaloa	Cyclorrhapha	-4.351826	16.27084	Drosophila rhopaloa
ncbi1041607	Fungi	Ascomycota	Saccharomycetes	Phaffomycetales	Wickerhamomycetaceae	Wickerhamomyces	Wickerhamomyces ciferrii	saccharomyceta	1.4822489	-1.4380558	Wickerhamomyces ciferrii
ncbi1042133	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium musae	sordariomyceta	8.409128	-6.5486503	Fusarium musae
ncbi1042311	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma asperellum	sordariomyceta	5.714797	-3.3861146	Trichoderma asperellum
ncbi1043002	Fungi	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	Aureobasidium pullulans	dothideomyceta	7.4347315	-3.9639933	Aureobasidium pullulans
ncbi1043003	Fungi	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	Aureobasidium melanogenum	dothideomyceta	7.283675	-3.777467	Aureobasidium melanogenum
ncbi1043004	Fungi	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	Aureobasidium namibiae	dothideomyceta	7.3327537	-3.9957972	Aureobasidium namibiae
ncbi1043005	Fungi	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	Aureobasidium subglaciale	dothideomyceta	7.5090456	-3.8625174	Aureobasidium subglaciale
ncbi104421	Metazoa	Arthropoda	Insecta	Hymenoptera	Formicidae	Camponotus	Camponotus floridanus	Dicondylia	1.2436496	5.7063766	Camponotus floridanus
ncbi104688	Metazoa	Arthropoda	Insecta	Diptera	Tephritidae	Bactrocera	Bactrocera oleae	Cyclorrhapha	-2.1985056	15.782058	Bactrocera oleae
ncbi1047088	Metazoa	Chordata	Mammalia	Rodentia	Cricetidae	Arvicola	Arvicola amphibius	Muroidea	-2.3925488	15.618818	Arvicola amphibius
ncbi105023	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Nothobranchiidae	Nothobranchius	Nothobranchius furzeri	Ovalentaria	-10.465082	7.609087	Nothobranchius furzeri
ncbi1051616	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Verticillium	Verticillium nonalfalfae	sordariomyceta	8.479976	-6.52626	Verticillium nonalfalfae
ncbi105255	Metazoa	Chordata	Mammalia	Rodentia	Heteromyidae	Dipodomys	Dipodomys spectabilis	Glires	-4.5565605	14.709546	Dipodomys spectabilis
ncbi105785	Metazoa	Arthropoda	Insecta	Blattodea	Kalotermitidae	Cryptotermes	Cryptotermes secundus	Dicondylia	0.7769767	5.891019	Cryptotermes secundus
ncbi105984	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	Apiotrichum porosum	Opisthokonta	2.7947545	-2.3184068	Apiotrichum porosum
ncbi106335	Viridiplantae	Streptophyta	Magnoliopsida	Malvales	Malvaceae	Hibiscus	Hibiscus syriacus	malvids	15.356045	10.758428	Hibiscus syriacus
ncbi1064592	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Naumovozyma	Naumovozyma castellii	saccharomyceta	0.9277865	0.3530005	Naumovozyma castellii
ncbi106582	Metazoa	Chordata	Actinopteri	Cichliformes	Cichlidae	Maylandia	Maylandia zebra	African cichlids	-10.217936	8.623236	Maylandia zebra
ncbi106734	Metazoa	Chordata		Testudines	Testudinidae	Chelonoidis	Chelonoidis abingdonii	Durocryptodira	3.1881588	5.801538	Chelonoidis abingdonii
ncbi1069201	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus luchuensis	leotiomyceta	7.557439	-2.8704174	Aspergillus luchuensis
ncbi1069680	Fungi	Ascomycota	Pneumocystomycetes	Pneumocystales	Pneumocystaceae	Pneumocystis	Pneumocystis murina	Opisthokonta	0.95012325	0.45460704	Pneumocystis murina
ncbi1071378	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Naumovozyma	Naumovozyma dairenensis	saccharomyceta	0.85758555	0.37456983	Naumovozyma dairenensis
ncbi1071380	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Henningerozyma	Henningerozyma blattae	saccharomyceta	0.85356975	0.4349793	Henningerozyma blattae
ncbi1071381	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Tetrapisispora	Tetrapisispora phaffii	saccharomyceta	0.8633925	0.45605847	Tetrapisispora phaffii
ncbi1071382	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kazachstania	Kazachstania africana	saccharomyceta	0.9001859	0.35163257	Kazachstania africana
